0:48:21 | (13ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/index.html
0:48:21 | (45ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/js/searchRecipes.js
0:48:21 | (47ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/js/searchRecipes.js
0:48:22 | (1ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/htmlObject/searchIngredients.html
0:48:22 | (1ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/htmlObject/searchRecipes.html
0:48:22 | (2ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/favicon.ico
0:48:22 | (1ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/css/searchIngredient.css
0:48:22 | (4ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/css/searchRecipe.css
1:3:55 | (0ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/index.html
1:3:55 | (1ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/js/topBar.js
1:3:55 | (1ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/js/topBar.js
1:3:55 | (2ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/js/topBar.js
1:3:56 | (1ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/favicon.ico
1:3:56 | (1ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/htmlObject/searchIngredients.html
1:3:56 | (1ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/htmlObject/searchRecipes.html
1:3:56 | (1ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/htmlObject/topBar.html
1:3:56 | (2ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/css/searchIngredient.css
1:3:56 | (2ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/css/searchRecipe.css
1:3:56 | (2ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/css/topBar.css
1:5:8 | (1ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/index.html
1:5:8 | (1ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/js/topBar.js
1:5:8 | (2ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/js/topBar.js
1:5:8 | (2ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/js/topBar.js
1:5:8 | (1ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/htmlObject/searchIngredients.html
1:5:8 | (0ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/htmlObject/searchRecipes.html
1:5:8 | (1ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/htmlObject/topBar.html
1:5:8 | (3ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/favicon.ico
1:5:8 | (1ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/css/searchRecipe.css
1:5:8 | (1ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/css/topBar.css
1:5:8 | (2ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/css/topBar.css
1:5:21 | (1ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/index.html
1:5:21 | (1ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/js/searchIngredient.js
1:5:21 | (1ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/js/searchRecipes.js
1:5:21 | (0ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/js/topBar.js
1:5:21 | (1ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/htmlObject/searchIngredients.html
1:5:21 | (0ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/htmlObject/searchRecipes.html
1:5:21 | (2ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/htmlObject/topBar.html
1:5:21 | (1ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/css/searchIngredient.css
1:5:21 | (1ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/css/searchRecipe.css
1:5:22 | (0ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/css/topBar.css
1:5:31 | (1ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/index.html
1:5:31 | (1ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/js/searchIngredient.js
1:5:31 | (2ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/js/searchRecipes.js
